date,volume,ema_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,target,target_binary,sentiment_score,gdp%change,unemloyment_rate,fed_rate,cpi%change
2024-01-24,81765000,468.4790376249925,71.00389878655972,5.2278220402467355,4.844521602122931,0.3833004381238041,478.2612322617095,468.4985092163086,458.7357861709077,buy,buy,-1.0,1.6,3.7,5.33,0.52461
2024-01-25,72525000,469.6147504432596,73.4319599735869,5.553726683219736,4.986362618342293,0.5673640648774434,480.160353112023,469.1078384399414,458.0553237678598,sell,sell,0.0,1.6,3.7,5.33,0.52461
2024-01-26,76641600,470.58417722861134,71.9090828476186,5.697090601507682,5.128508214975371,0.5685823865323112,481.63782464516925,469.64432220458986,457.65081976401046,buy,buy,-0.4323,1.6,3.7,5.33,0.52461
2024-01-29,61322800,471.82314928198764,75.33829760640698,6.047594800687818,5.31232553211786,0.735269268569958,483.8031739524514,470.36193084716797,456.92068774188454,buy,buy,0.0,1.6,3.7,5.33,0.52461
2024-01-30,58618400,472.90850271718523,74.37579907231327,6.223451265992026,5.494550678892693,0.7289005870993321,485.6252549533587,471.128759765625,456.63226457789125,sell,sell,0.0,1.6,3.7,5.33,0.52461
2024-01-31,126011100,473.13955037972266,57.65368915517912,5.661316570602082,5.527903857234572,0.1334127133675107,485.97777823866926,471.6322677612305,457.2867572837917,buy,buy,0.0,1.6,3.7,5.33,0.52461
2024-02-01,91891600,473.9410937354857,64.44598714115116,5.65266346759563,5.552855779306784,0.09980768828884656,486.80637854958474,472.6368209838867,458.4672634181887,buy,buy,0.0,1.6,3.9,5.33,0.32622
2024-02-02,99147700,475.1491109662207,68.83300762485185,5.985872231145436,5.639459069674515,0.34641316147092116,488.1382642128016,473.969172668457,459.80008112411247,sell,sell,-0.9534,1.6,3.9,5.33,0.32622
2024-02-05,75757100,476.07332544916244,65.77793691746888,6.0373690848804245,5.719041072715697,0.31832801216472717,488.70456727769016,475.1814270019531,461.6582867262161,buy,buy,0.0,1.6,3.9,5.33,0.32622
2024-02-06,55918600,477.0435846790785,67.02990323113809,6.121207602174991,5.799474378607556,0.32173322356743483,489.9553948935965,476.1352844238281,462.31517395405973,buy,buy,-0.8038,1.6,3.9,5.33,0.32622
2024-02-07,70556500,478.3076861754163,70.39074998454012,6.44065958682728,5.9277114202515016,0.5129481665757787,491.7103287944686,477.32736053466795,462.9443922748673,buy,buy,-0.6364,1.6,3.9,5.33,0.32622
